fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,precipitacion_mm_dia,velocidad_viento_km_h
2011-09-11,16.04,23.69,1.11,0.0,3.9960000000000004
2011-09-12,19.15,28.89,1.01,0.0,3.636
2011-09-13,15.41,47.63,0.76,0.0,2.736
2011-09-14,14.04,54.6,0.96,0.0,3.456
2011-09-15,17.91,56.18,0.96,0.0,3.456
2011-09-16,22.4,58.22,1.33,3.39,4.788
2011-09-17,13.54,31.57,1.1,0.09,3.9600000000000004
2011-09-18,12.54,36.04,0.73,0.06,2.628
2011-09-19,14.5,38.4,0.6,0.0,2.16
2011-09-20,17.51,35.9,0.81,0.0,2.9160000000000004
2011-09-21,19.18,29.86,0.99,0.0,3.564
2011-09-22,19.13,44.04,1.02,2.43,3.672
2011-09-23,9.62,65.47,0.89,0.0,3.204
2011-09-24,13.67,49.87,0.95,0.0,3.42
2011-09-25,19.87,44.08,0.96,0.0,3.456
2011-09-26,21.21,47.9,0.73,0.0,2.628
2011-09-27,22.27,45.78,1.15,0.0,4.14
2011-09-28,25.48,37.54,1.04,0.0,3.744
2011-09-29,19.63,44.09,0.99,0.0,3.564
2011-09-30,17.9,42.76,0.76,0.0,2.736
2011-10-01,19.88,48.01,0.57,0.0,2.052
2011-10-02,17.8,31.18,0.61,0.0,2.196
2011-10-03,13.77,44.05,0.88,0.16,3.168
2011-10-04,14.96,59.96,0.42,5.22,1.512
2011-10-05,17.5,57.12,0.83,0.0,2.988
2011-10-06,19.36,65.42,0.99,2.13,3.564
2011-10-07,19.03,71.69,0.8,14.03,2.8800000000000003
2011-10-08,14.89,76.1,0.6,14.39,2.16
2011-10-09,14.85,59.79,0.79,0.14,2.8440000000000003
2011-10-10,16.79,55.43,0.71,0.0,2.556
2011-10-11,16.53,66.37,0.81,0.02,2.9160000000000004
2011-10-12,17.7,63.33,0.91,1.36,3.2760000000000002
2011-10-13,14.25,56.78,0.7,0.38,2.52
2011-10-14,16.47,60.09,0.41,2.99,1.476
2011-10-15,18.68,46.72,0.51,0.0,1.836
2011-10-16,17.7,44.19,0.92,0.0,3.3120000000000003
2011-10-17,16.09,59.86,0.58,0.0,2.088
2011-10-18,16.91,75.87,0.68,25.54,2.4480000000000004
2011-10-19,19.55,61.13,0.43,0.02,1.548
2011-10-20,20.41,45.85,0.75,0.0,2.7
2011-10-21,21.9,48.04,0.77,0.0,2.7720000000000002
2011-10-22,14.85,79.04,0.73,13.21,2.628
2011-10-23,15.7,77.65,0.59,10.47,2.124
2011-10-24,16.92,76.15,0.55,16.14,1.9800000000000002
2011-10-25,16.11,65.63,0.81,1.27,2.9160000000000004
2011-10-26,13.74,74.83,0.54,2.85,1.9440000000000002
2011-10-27,17.36,64.42,0.62,0.0,2.232
2011-10-28,20.7,59.88,0.76,0.17,2.736
2011-10-29,16.41,52.81,0.88,0.1,3.168
2011-10-30,16.31,49.7,0.68,0.0,2.4480000000000004
2011-10-31,15.35,58.61,0.69,0.0,2.484
2011-11-01,16.03,58.12,0.87,0.0,3.132
2011-11-02,19.41,57.7,0.73,0.0,2.628
2011-11-03,23.08,50.72,0.94,0.0,3.384
2011-11-04,25.45,49.91,0.65,0.26,2.3400000000000003
2011-11-05,22.2,67.33,0.58,0.83,2.088
2011-11-06,23.9,63.41,0.68,0.0,2.4480000000000004
2011-11-07,24.37,61.08,0.83,0.0,2.988
2011-11-08,27.05,54.64,0.87,12.13,3.132
2011-11-09,23.19,49.85,0.59,1.35,2.124
2011-11-10,17.07,40.86,0.54,0.0,1.9440000000000002
2011-11-11,18.91,42.32,0.66,0.0,2.3760000000000003
2011-11-12,19.48,50.42,0.69,6.16,2.484
2011-11-13,15.09,87.17,0.6,43.75,2.16
2011-11-14,17.49,69.56,0.53,0.05,1.9080000000000001
2011-11-15,17.68,56.97,0.6,0.0,2.16
2011-11-16,16.67,57.79,0.6,0.0,2.16
2011-11-17,18.54,59.22,0.65,0.63,2.3400000000000003
